player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,earned_run_average,games,complete_games,shutouts,wins,losses,saves,holds,winning_percentage,batters_faced,innings_pitched_display,hits_allowed,home_runs_allowed,walks_allowed,hit_batters,strikeouts,runs_allowed,earned_runs,as_of_date,is_partial,age_was_corrected,height_cm,weight_kg,innings_pitched_outs
50705,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50705,강재민,29,1997-04-03,P,R/R,180cm/89kg,양덕초-마산중-용마고-단국대,20 한화 2차 4라운드 38순위,2026,한화,6.48,11,0,0,0,0,0,0,,45,8 1/3,10,0,7,4,5,6,6,2026-07-20,True,True,180,89,25
50710,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50710,김범준,26,2000-09-30,P,R/R,175cm/79kg,서울도곡초-글로벌선진중-충암고,20 한화 2차 9라운드 88순위,2026,한화,13.5,1,0,0,0,0,0,0,,4,2/3,2,0,0,0,0,1,1,2026-07-20,True,False,175,79,2
50726,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50726,한승주,25,2001-03-17,P,R/R,183cm/85kg,부산수영초-대천중-부산고-한화-상무,20 한화 2차 2라운드 18순위,2026,KT,16.88,4,0,0,0,0,0,1,,18,2 2/3,7,1,2,0,3,6,5,2026-07-20,True,True,183,85,8
50812,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50812,박시후,25,2001-05-10,P,L/L,182cm/88kg,상인천초-상인천중-인천고-SK,20 SK 2차 10라운드 100순위,2026,SSG,4.89,29,0,0,0,1,0,1,0.0,158,35,36,5,16,3,30,24,19,2026-07-20,True,True,182,88,105
50859,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50859,오원석,25,2001-04-23,P,L/L,182cm/80kg,수진초-매송중-야탑고-SK-SSG,20 SK 1차,2026,KT,6.11,15,0,0,4,6,0,0,0.4,326,73 2/3,93,8,21,1,70,53,50,2026-07-20,True,True,182,80,221
50904,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50904,이종준,25,2001-03-09,P,R/R,191cm/93kg,군산중앙초-군산남중-군산상고,20 NC 2차 9라운드 81순위,2026,LG,3.0,2,0,0,0,0,0,0,,11,3,1,0,0,1,3,1,1,2026-07-20,True,True,191,93,9
50992,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50992,김태경,25,2001-04-07,P,R/R,188cm/95kg,김해삼성초-내동중-용마고-NC-상무,20 NC 1차,2026,NC,5.03,13,0,0,0,1,0,0,0.0,150,34,32,4,20,2,27,19,19,2026-07-20,True,True,188,95,102
51058,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51058,한차현,28,1998-11-30,P,R/R,180cm/80kg,사능초(남양주리틀)-청원중-포항제철고-성균관대,21 KT 2차 2라운드 15순위,2026,KT,10.8,2,0,0,0,1,0,0,0.0,35,6 2/3,15,3,2,0,6,9,8,2026-07-20,True,True,180,80,20
51111,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51111,송승기,24,2002-04-10,P,L/L,181cm/90kg,삼일초-매향중-야탑고-LG-상무,21 LG 2차 9라운드 87순위,2026,LG,4.83,12,0,0,3,2,0,0,0.6,244,54,66,7,17,0,41,32,29,2026-07-20,True,True,181,90,162
51154,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51154,김진수,28,1998-08-31,P,R/R,179cm/82kg,이세초-군산중-군산상고-중앙대,21 LG 2차 2라운드 17순위,2026,LG,3.72,34,0,0,3,3,1,6,0.5,168,38 2/3,42,5,11,1,24,18,16,2026-07-20,True,True,179,82,116
51163,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51163,조건희,24,2002-03-26,P,L/L,184cm/84kg,계상초(노원구리틀)-상명중-서울고,21 LG 2차 3라운드 27순위,2026,LG,9.0,2,0,0,0,0,0,0,,12,2,4,1,2,0,1,2,2,2026-07-20,True,False,184,84,6
51230,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51230,김동주,24,2002-02-14,P,R/R,190cm/90kg,갈산초-양천중-선린인터넷고-두산-상무,21 두산 2차 1라운드 10순위,2026,두산,5.25,12,0,0,0,0,0,0,,50,12,10,3,6,0,14,7,7,2026-07-20,True,True,190,90,36
51264,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51264,최승용,25,2001-05-11,P,L/L,190cm/87kg,양오초-모가중-소래고,21 두산 2차 2라운드 20순위,2026,두산,5.35,16,0,0,3,7,0,0,0.3,357,79,90,8,29,4,52,51,47,2026-07-20,True,True,190,87,237
51301,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51301,김성진,29,1997-11-14,P,L/R,183cm/77kg,율하초-포항제철중-부산정보고-계명대,21 키움 2차 3라운드 29순위,2026,키움,5.74,32,0,0,1,2,0,8,0.333,144,31 1/3,42,2,12,2,23,22,20,2026-07-20,True,True,183,77,94
51454,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51454,이승현,24,2002-05-19,P,L/L,183cm/102kg,남도초-경복중-대구상원고,21 삼성 1차,2026,삼성,11.85,5,0,0,0,2,0,0,0.0,73,13 2/3,21,3,12,1,8,18,18,2026-07-20,True,True,183,102,41
51460,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51460,이재희,25,2001-10-11,P,L/R,187cm/88kg,대전신흥초-한밭중-대전고-삼성-상무,21 삼성 2차 1라운드 3순위,2026,삼성,3.6,14,0,0,0,0,1,3,,51,10,9,1,10,4,9,5,4,2026-07-20,True,True,187,88,30
51516,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51516,김진욱,24,2002-07-05,P,L/L,185cm/90kg,수원신곡초-춘천중-강릉고,21 롯데 2차 1라운드 1순위,2026,롯데,3.07,17,0,0,5,4,0,0,0.556,424,99 2/3,90,12,30,5,81,45,34,2026-07-20,True,True,185,90,299
51526,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51526,우강훈,24,2002-10-03,P,R/R,183cm/88kg,희망대초-매송중-야탑고-롯데,21 롯데 2차 5라운드 41순위,2026,LG,3.65,42,0,0,0,1,0,15,0.0,154,37,29,3,12,3,36,19,15,2026-07-20,True,True,183,88,111
51586,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51586,김창훈,25,2001-11-09,P,R/R,185cm/98kg,사파초-창원신월중-경남고,21 롯데 2차 3라운드 21순위,2026,롯데,9.0,1,0,0,0,0,0,0,,6,1,3,0,0,0,1,1,1,2026-07-20,True,True,185,98,3
51648,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51648,이의리,24,2002-06-16,P,L/L,185cm/90kg,광주수창초-충장중-광주제일고,21 KIA 1차,2026,KIA,8.54,13,0,0,2,6,0,0,0.25,191,39,43,8,33,2,42,37,37,2026-07-20,True,True,185,90,117
51702,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51702,이준기,24,2002-05-19,P,R/R,180cm/86kg,사당초-영남중-경기상고,21 한화 2차 7라운드 62순위,2026,SSG,6.0,2,0,0,0,0,0,0,,15,3,4,0,2,0,1,2,2,2026-07-20,True,False,180,86,9
51761,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51761,배동현,28,1998-03-16,P,L/R,183cm/85kg,판곡초(양평리틀)-언북중-경기고-한일장신대-한화-상무-한화,21 한화 2차 5라운드 42순위,2026,키움,5.33,17,0,0,4,7,0,0,0.364,340,74 1/3,97,7,20,2,61,48,44,2026-07-20,True,True,183,85,223
51867,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51867,김건우,24,2002-07-12,P,L/L,186cm/88kg,가현초(인천서구리틀)-동산중-제물포고-SK-SSG-상무,21 SK 1차,2026,SSG,6.7,18,0,0,6,7,0,0,0.462,398,84 2/3,100,13,48,7,65,67,63,2026-07-20,True,True,186,88,254
51895,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51895,장지훈,28,1998-12-06,P,R/R,177cm/78kg,김해삼성초-내동중-김해고-동의대-SK-SSG-상무,21 SK 2차 4라운드 38순위,2026,SSG,8.31,12,0,0,0,0,0,0,,80,17 1/3,21,3,6,2,9,16,16,2026-07-20,True,True,177,78,52
51897,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51897,조병현,24,2002-05-08,P,R/R,182cm/90kg,온양온천초-온양중-세광고-SK-SSG-상무,21 SK 2차 3라운드 28순위,2026,SSG,3.03,33,0,0,2,4,10,0,0.333,146,32 2/3,24,3,21,3,41,14,11,2026-07-20,True,True,182,90,98
51948,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51948,이용준,24,2002-05-08,P,R/R,180cm/95kg,중대초-양천중-서울디자인고-상무,21 NC 2차 2라운드 16순위,2026,NC,0.0,4,0,0,0,1,0,0,0.0,14,4,2,0,0,0,2,1,0,2026-07-20,True,True,180,95,12
51994,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51994,한재승,25,2001-11-21,P,R/R,180cm/90kg,동막초-상인천중-인천고-NC,21 NC 2차 4라운드 36순위,2026,KIA,3.71,37,0,0,1,0,0,1,1.0,146,34,27,4,19,3,22,14,14,2026-07-20,True,True,180,90,102
