player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,strikeouts,grounded_into_double_play,sacrifice_flies,sacrifice_hits,errors,batting_average,slugging_percentage,on_base_percentage,on_base_plus_slugging,as_of_date,is_partial,age_was_corrected,height_cm,weight_kg
55121,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55121,박시원,20,2006-04-12,P,R/R,193cm/93kg,송수초(해운대리틀)-센텀중-경남고,25 LG 6라운드 60순위,2026,LG,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2026-07-20,True,True,193,93
55167,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55167,김영우,21,2005-01-14,P,R/R,185cm/90kg,양원초(서대문구리틀)-신월중-서울고,25 LG 1라운드 10순위,2026,LG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,True,185,90
55215,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55215,양재훈,23,2003-05-01,P,R/R,186cm/89kg,부산수영초-사직중-개성고-동의과학대,25 두산 7라운드 66순위,2026,두산,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,True,186,89
55252,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55252,박준순,20,2006-07-13,3B,R/R,180cm/80kg,배봉초(동대문구리틀)-청량중-덕수고,25 두산 1라운드 6순위,2026,두산,58,253,233,33,80,9,5,13,138,44,1,2,15,4,48,10,1,0,6,0.343,0.592,0.391,0.983,2026-07-20,True,True,180,80
55267,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55267,홍민규,20,2006-09-11,P,L/R,183cm/87kg,서울논현초(용산구리틀)-대원중-야탑고,25 두산 3라운드 26순위,2026,KIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,True,183,87
55339,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55339,염승원,20,2006-03-20,2B,L/R,180cm/78kg,고명초-휘문중-휘문고,25 키움 2라운드 11순위,2026,키움,5,14,13,0,1,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0.077,0.077,0.077,0.154,2026-07-20,True,True,180,78
55370,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55370,양현종,20,2006-08-15,3B,R/R,177cm/84kg,대구옥산초-협성경복중-대구고,25 키움 6라운드 51순위,2026,키움,15,46,40,4,7,2,0,2,15,5,0,0,5,0,19,0,1,0,2,0.175,0.375,0.261,0.636,2026-07-20,True,True,177,84
55371,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55371,권혁빈,21,2005-11-04,2B,R/R,185cm/75kg,칠성초-경상중-대구고,25 키움 7라운드 61순위,2026,키움,59,156,143,11,26,3,0,0,29,11,0,0,7,3,40,2,1,2,4,0.182,0.203,0.234,0.437,2026-07-20,True,True,185,75
55392,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55392,어준서,20,2006-11-27,SS,L/R,183cm/87kg,수유초-자양중-경기고,25 키움 3라운드 21순위,2026,키움,24,76,69,6,15,1,0,0,16,2,0,0,3,2,20,0,1,1,4,0.217,0.232,0.267,0.499,2026-07-20,True,True,183,87
55393,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55393,여동욱,21,2005-11-10,3B,R/R,180cm/90kg,남도초-협성경복중-대구상원고,25 키움 3라운드 27순위,2026,키움,37,98,78,10,17,2,0,3,28,6,0,0,13,5,31,1,1,1,3,0.218,0.359,0.361,0.72,2026-07-20,True,True,180,90
