player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,earned_run_average,games,complete_games,shutouts,wins,losses,saves,holds,winning_percentage,batters_faced,innings_pitched_display,hits_allowed,home_runs_allowed,walks_allowed,hit_batters,strikeouts,runs_allowed,earned_runs,age_was_corrected,height_cm,weight_kg,innings_pitched_outs
64259,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64259,최병욱,25,1989-06-02,P,R/R,181cm/88kg,동천초-경주중-경주고-동국대,14 두산 2차 1라운드 7순위,2014,두산,6.61,12,0,0,0,0,0,0,,77,16 1/3,24,4,7,0,9,12,12,False,181,88,49
64350,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64350,하영민,19,1995-05-07,P,R/R,183cm/74kg,광주수창초-진흥중-진흥고-히어로즈,14 넥센 2차 1라운드 4순위,2014,넥센,7.22,14,0,0,3,5,0,0,0.375,288,62 1/3,84,9,28,0,43,52,50,False,183,74,187
64430,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64430,마틴,31,1983-01-02,P,R/R,193cm/101kg,미국 버로우스고-삼성,14 삼성 자유선발,2014,삼성,4.78,23,0,0,9,6,0,0,0.6,562,128,148,10,31,7,84,69,68,False,193,101,384
64464,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64464,이수민,19,1995-09-11,P,L/L,180cm/94kg,도산초-구미중-대구상원고-삼성-상무-삼성,14 삼성 1차,2014,삼성,2.45,5,0,0,1,0,0,1,1.0,39,7 1/3,7,0,10,1,7,2,2,False,180,94,22
64554,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64554,문동욱,22,1992-01-07,P,L/R,187cm/90kg,광주수창초-광주동성중-광주동성고-건국대-롯데-한화,14 롯데 2차 1라운드 6순위,2014,롯데,9.0,1,0,0,0,0,0,0,,11,2,3,0,1,1,0,2,2,False,187,90,6
64565,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64565,이인복,23,1991-06-18,P,R/R,187cm/97kg,희망대초-성일중-서울고-연세대-롯데-경찰-롯데,14 롯데 2차 2라운드 20순위,2014,롯데,15.43,3,0,0,0,0,0,0,,28,4 2/3,8,2,4,1,2,9,8,False,187,97,14
64594,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64594,심규범,23,1991-09-04,P,L/L,180cm/84kg,창도초-청원중-청원고-경희대-롯데-NC-경찰,14 롯데 2차 3라운드 31순위,2014,롯데,0.0,1,0,0,0,0,0,0,,3,1,0,0,0,0,1,0,0,False,180,84,3
64596,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64596,김유영,20,1994-05-02,P,L/L,180cm/83kg,양정초-개성중-경남고-롯데-상무-롯데,14 롯데 1차,2014,롯데,5.87,5,0,0,0,0,0,0,,37,7 2/3,8,0,7,0,2,5,5,False,180,83,23
64640,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64640,김지훈,22,1992-04-16,P,R/R,181cm/89kg,하단초-마산중-마산고-동강대,14 KIA 2차 3라운드 30순위,2014,KIA,8.53,10,0,0,0,1,0,0,0.0,63,12 2/3,19,2,9,0,7,12,12,False,181,89,38
64641,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64641,어센시오,31,1983-05-30,P,R/R,189cm/82kg,도미니카-KIA,14 KIA 자유선발,2014,KIA,4.05,46,0,0,4,1,20,0,0.8,207,46 2/3,49,5,14,2,56,24,21,False,189,82,140
